,author_name,tag
0,007Vikings,['Outside_Dog']
1,03Firefly,"['Toy_Poodle', 'Cancer_Tumor', 'Gear', 'Others']"
2,101N,"['Mixes_Cross', 'Others']"
3,1025275,['Catahoula']
4,132will,['Outside_Dog']
5,1doglover1,['Bulls']
6,1jazzychick,['Catahoula']
7,2314b1c1,"['Breed_Color', 'Train_Care', 'Author_Interest']"
8,2Greys,"['Dog_Family', 'Others', 'Training', 'Toy_Poodle', 'Food_Brand', 'Accident']"
9,2bigdogs,['Shih_Tzu']
10,2dogs1pup,['Shih_Tzu']
11,2flamingos,"['Mixes_Cross', 'Mouth']"
12,3284dribkcalb,['Outside_Dog']
13,33socks,"['Hereditary_Disease', 'Food_Brand', 'Shih_Tzu', 'Others']"
14,3Dogfam,"['Collar', 'Others', 'Hair_Combing', 'Training', 'Food_Brand', 'Mixes_Cross', 'Author_Interest']"
15,3dogs,"['Breed_Color', 'Others', 'Dog_Film', 'Hair_Combing', 'Toy_Poodle']"
16,3man75,['Outside_Dog']
17,3neighs,"['Mouth', 'Parasite_Infection', 'Dog_Challenge', 'Collar', 'Outside_Dog', 'Others', 'Hair_Combing', 'Food_Brand', 'Emotion', 'Author_Interest', 'Accident']"
18,4horses,"['Mouth', 'Collar', 'Others', 'Condolences', 'Grooming_Tools', 'Excretory_System', 'Mixes_Cross']"
19,4onthefloortimes2,"['Skin_Clean_Allergy', 'Behavior_Play_Outside', 'Others']"
20,4pawzpatrol,"['Mixes_Cross', 'Fierce_Dog', 'Others']"
21,570Beardsman,['Shih_Tzu']
22,6boyz4me,['Small_Dog']
23,771subliminal,"['Bulls', 'Dog_Giving', 'Digestive_System']"
24,911brute,"['Food_Ingredient', 'Shih_Tzu']"
25,93carter,['Outside_Dog']
26,A5H13Y,['Shih_Tzu']
27,ACC,"['Collar', 'Others', 'Other_Pets', 'Shih_Tzu']"
28,ADCarter1,"['Others', 'Outside_Dog']"
29,AEffie,['Toy_Poodle']
30,AGJones,['Shih_Tzu']
31,AJV1997,['Shih_Tzu']
32,ALS91,['Outside_Dog']
33,AMac,"['Others', 'Shih_Tzu']"
34,ANichole2010,"['Other_Pets', 'Others']"
35,APBT,"['Small_Dog', 'Dog_Family']"
36,AShepherd,"['Allergy_Food', 'Flying_Disc', 'Shih_Tzu', 'Others', 'Train_Care', 'Hereditary_Disease', 'Grooming_Tools', 'Meet_Memory']"
37,Aaron3018,['Shih_Tzu']
38,AbbeyJoy,"['Fierce_Dog', 'Shih_Tzu', 'Others']"
39,AbbeyandLucy,"['Collar', 'Outside_Dog', 'Others', 'Train_Care', 'Hereditary_Disease', 'Grooming_Tools', 'Welcome_New_Partner', 'Meet_Memory']"
40,Abbyshuman,"['Catahoula', 'Others']"
41,Abdelmajeed,['Outside_Dog']
42,AbigailClay,['Small_Dog']
43,Abluedog,"['Dog_Racing', 'Others', 'Clothes', 'Fierce_Dog', 'Training', 'Mouth_Clean', 'Hereditary_Disease', 'Mixes_Cross', 'Food_Ingredient', 'Author_Interest', 'Accident']"
44,Acecw2,['Catahoula']
45,Acueto,"['Shih_Tzu', 'Gear', 'Dog_Giving', 'Food_Brand', 'Meet_Memory']"
46,AdamAnt,['Mixes_Cross']
47,AdamFerg,['Shih_Tzu']
48,AdamWorth1979,['Small_Dog']
49,Adee,"['Dog_Racing', 'Collar', 'Dog_Film', 'Other_Pets', 'Others', 'Skin_Clean_Allergy', 'Condolences', 'Hereditary_Disease', 'Food_Brand', 'Mixes_Cross', 'Dog_Daily_Life']"
