,_score,counts
0,1,160834
1,2,46611
2,3,21316
3,4,10821
4,5,5911
5,6,3482
6,7,2188
7,8,1390
8,9,968
9,10,653
10,11,492
11,12,371
12,13,251
13,14,214
14,15,196
15,16,121
16,17,120
17,18,74
18,19,63
19,20,47
20,21,48
21,22,39
22,23,40
23,24,20
24,25,31
25,26,12
26,27,17
27,28,17
28,29,9
29,30,14
30,31,10
31,32,5
32,33,13
33,34,7
34,35,9
35,36,5
36,37,6
37,38,4
38,39,4
39,40,6
40,41,4
41,42,4
42,43,1
43,44,1
44,45,3
45,46,3
46,47,3
47,48,1
48,49,2
49,50,4
50,52,4
51,54,3
52,55,1
53,56,1
54,57,1
55,58,1
56,59,2
57,60,1
58,61,2
59,62,1
60,65,2
61,66,1
62,71,1
63,72,1
64,73,1
65,76,1
66,77,1
67,82,1
68,91,1
69,102,1
70,104,1
71,108,1
72,116,1
73,137,1
74,147,1
75,154,1
76,187,1
77,281,1
