,author_name,tag
0,007Vikings,Outside_Dog
1,03Firefly,"Others,Cancer_Tumor,Toy_Poodle,Gear"
2,101N,"Mixes_Cross,Others"
3,1025275,Catahoula
4,132will,Outside_Dog
5,1doglover1,Bulls
6,1jazzychick,Catahoula
7,2314b1c1,"Train_Care,Author_Interest,Breed_Color"
8,2Greys,"Dog_Family,Toy_Poodle,Accident,Training,Others,Food_Brand"
9,2bigdogs,Shih_Tzu
10,2dogs1pup,Shih_Tzu
11,2flamingos,"Mixes_Cross,Mouth"
12,3284dribkcalb,Outside_Dog
13,33socks,"Hereditary_Disease,Shih_Tzu,Others,Food_Brand"
14,3Dogfam,"Mixes_Cross,Collar,Training,Others,Hair_Combing,Author_Interest,Food_Brand"
15,3dogs,"Toy_Poodle,Dog_Film,Others,Hair_Combing,Breed_Color"
16,3man75,Outside_Dog
17,3neighs,"Mouth,Collar,Accident,Outside_Dog,Dog_Challenge,Parasite_Infection,Hair_Combing,Author_Interest,Emotion,Others,Food_Brand"
18,4horses,"Mixes_Cross,Condolences,Mouth,Excretory_System,Collar,Grooming_Tools,Others"
19,4onthefloortimes2,"Skin_Clean_Allergy,Behavior_Play_Outside,Others"
20,4pawzpatrol,"Fierce_Dog,Mixes_Cross,Others"
21,570Beardsman,Shih_Tzu
22,6boyz4me,Small_Dog
23,771subliminal,"Dog_Giving,Digestive_System,Bulls"
24,911brute,"Food_Ingredient,Shih_Tzu"
25,93carter,Outside_Dog
26,A5H13Y,Shih_Tzu
27,ACC,"Others,Collar,Shih_Tzu,Other_Pets"
28,ADCarter1,"Others,Outside_Dog"
29,AEffie,Toy_Poodle
30,AGJones,Shih_Tzu
31,AJV1997,Shih_Tzu
32,ALS91,Outside_Dog
33,AMac,"Others,Shih_Tzu"
34,ANichole2010,"Other_Pets,Others"
35,APBT,"Dog_Family,Small_Dog"
36,AShepherd,"Train_Care,Shih_Tzu,Flying_Disc,Allergy_Food,Hereditary_Disease,Grooming_Tools,Meet_Memory,Others"
37,Aaron3018,Shih_Tzu
38,AbbeyJoy,"Fierce_Dog,Others,Shih_Tzu"
39,AbbeyandLucy,"Train_Care,Collar,Welcome_New_Partner,Outside_Dog,Hereditary_Disease,Grooming_Tools,Meet_Memory,Others"
40,Abbyshuman,"Catahoula,Others"
41,Abdelmajeed,Outside_Dog
42,AbigailClay,Small_Dog
43,Abluedog,"Mixes_Cross,Clothes,Mouth_Clean,Accident,Dog_Racing,Hereditary_Disease,Training,Author_Interest,Others,Fierce_Dog,Food_Ingredient"
44,Acecw2,Catahoula
45,Acueto,"Shih_Tzu,Meet_Memory,Gear,Dog_Giving,Food_Brand"
46,AdamAnt,Mixes_Cross
47,AdamFerg,Shih_Tzu
48,AdamWorth1979,Small_Dog
49,Adee,"Mixes_Cross,Other_Pets,Condolences,Skin_Clean_Allergy,Collar,Dog_Racing,Hereditary_Disease,Dog_Film,Others,Dog_Daily_Life,Food_Brand"
50,Administrator,"Mixes_Cross,Dog_Family,Other_Animal_Food,Meet_Memory,Gear,Others,Dog_Giving"
51,AdoJrts,"Dog_Family,Toy_Poodle,Dog_Challenge,Author_Interest,Gear,Others,Food_Brand"
52,Adorable,"Welcome_New_Partner,Shih_Tzu,Others,Food_Brand"
53,Adrian,"Mixes_Cross,Dog_Family,Welcome_New_Partner,Bedding,Gear,Parasite_Infection"
54,Aela Mae,"Hereditary_Disease,Toy_Poodle,Others,Bedding"
55,Aeva,"Toy_Poodle,Others"
56,Ag151309,Shih_Tzu
57,AgMarl,Catahoula
58,Agent769,Shih_Tzu
59,AggieCwgrl,"Mixes_Cross,Accident"
60,AggieHawk,"Collar,Toy_Poodle,Others,Other_Pets"
61,AgilityOlive,"Flying_Disc,Skin_Clean_Allergy,Collar,Bedding,Outside_Dog,Meet_Memory,Others"
62,Ahanix,Shih_Tzu
63,Aiden,"Skin_Clean_Allergy,Mixes_Cross"
64,Aimeeshweet,Shih_Tzu
65,Aimeestella,"Others,Shih_Tzu"
66,AirandBone,Small_Dog
67,Ajbishop2,Shih_Tzu
68,Ajgritz,Shih_Tzu
69,AkCrimson,"Toy_Poodle,Others,Digestive_System,Dog_Giving"
70,Akayy1,Shih_Tzu
71,Akitadog24,"Dog_Family,Accident,Bulls"
